County,2000,2001,2002,2003,2004,sum
IL:_Winnebago_County,19,20,22,23,15,99
IL:_Woodford_County,3,2,1,3,2,11
IA:_Adair_County,1,1,0,0,0,2
IA:_Adams_County,0,0,1,0,1,2
IA:_Allamakee_County,1,2,2,3,1,9
IA:_Appanoose_County,1,1,0,3,2,7
IA:_Audubon_County,1,2,1,1,0,5
IA:_Benton_County,2,3,1,5,3,14
IA:_Black_Hawk_County,6,11,10,7,7,41
IA:_Boone_County,0,2,2,2,2,8
IA:_Bremer_County,0,2,1,2,0,5
IA:_Buchanan_County,2,0,2,0,0,4
IA:_Buena_Vista_County,1,5,0,2,2,10
IA:_Butler_County,1,0,1,0,3,5
IA:_Calhoun_County,0,2,2,2,2,8
IA:_Carroll_County,0,0,1,4,2,7
IA:_Cass_County,2,1,2,0,1,6
IA:_Cedar_County,0,0,1,2,1,4
IA:_Cerro_Gordo_County,3,2,2,6,5,18
IA:_Cherokee_County,1,0,3,0,1,5
IA:_Chickasaw_County,0,2,2,0,1,5
IA:_Clarke_County,1,4,0,1,1,7
IA:_Clay_County,1,2,2,2,2,9
IA:_Clayton_County,2,1,2,2,1,8
IA:_Clinton_County,3,3,1,3,3,13
IA:_Crawford_County,1,2,1,3,0,7
IA:_Dallas_County,3,2,7,3,6,21
IA:_Davis_County,1,0,1,0,1,3
IA:_Decatur_County,1,2,0,1,0,4
IA:_Delaware_County,4,1,4,0,1,10
IA:_Des_Moines_County,4,3,2,2,1,12
IA:_Dickinson_County,3,1,5,2,0,11
IA:_Dubuque_County,7,4,14,8,7,40
IA:_Emmet_County,1,0,0,3,1,5
IA:_Fayette_County,2,5,2,1,1,11
IA:_Floyd_County,1,2,1,3,1,8
IA:_Franklin_County,0,1,2,1,2,6
IA:_Fremont_County,0,0,1,1,1,3
IA:_Greene_County,1,0,0,0,1,2
IA:_Grundy_County,1,0,1,1,3,6
IA:_Guthrie_County,0,1,1,0,1,3
IA:_Hamilton_County,2,2,2,0,2,8
IA:_Hancock_County,0,1,0,0,0,1
IA:_Hardin_County,0,2,2,0,2,6
IA:_Harrison_County,0,3,2,0,3,8
IA:_Henry_County,0,2,1,0,1,4
IA:_Howard_County,2,0,1,2,0,5
IA:_Humboldt_County,1,2,1,1,0,5
IA:_Ida_County,0,2,0,1,0,3
IA:_Iowa_County,4,1,2,0,0,7
IA:_Jackson_County,1,1,0,1,1,4
IA:_Jasper_County,2,1,4,0,1,8
IA:_Jefferson_County,3,1,0,2,0,6
IA:_Johnson_County,5,6,5,6,10,32
IA:_Jones_County,2,1,3,2,3,11
IA:_Keokuk_County,0,2,0,0,3,5
IA:_Kossuth_County,2,3,1,1,1,8
IA:_Lee_County,2,5,0,5,4,16
IA:_Linn_County,19,16,5,9,11,60
IA:_Louisa_County,2,2,3,1,1,9
IA:_Lucas_County,0,0,0,0,0,0
IA:_Lyon_County,0,3,3,0,0,6
IA:_Madison_County,0,0,0,1,1,2
IA:_Mahaska_County,2,1,0,4,3,10
IA:_Marion_County,1,3,2,3,4,13
IA:_Marshall_County,5,3,3,2,4,17
IA:_Mills_County,1,3,0,1,1,6
IA:_Mitchell_County,0,1,0,3,1,5
IA:_Monona_County,1,0,0,1,3,5
IA:_Monroe_County,0,0,0,2,2,4
