County,2000,2001,2002,2003,2004,sum
GA:_Baker_County,1,5,1,4,1,12
GA:_Baldwin_County,44,39,32,24,35,174
GA:_Banks_County,6,9,16,8,18,57
GA:_Barrow_County,32,28,37,36,35,168
GA:_Bartow_County,76,57,73,64,57,327
GA:_Ben_Hill_County,25,20,19,17,18,99
GA:_Berrien_County,15,11,15,15,17,73
GA:_Bibb_County,115,109,124,128,122,598
GA:_Bleckley_County,9,11,16,7,11,54
GA:_Brantley_County,11,10,12,14,19,66
GA:_Brooks_County,19,17,15,17,9,77
GA:_Bryan_County,11,13,15,25,15,79
GA:_Bulloch_County,22,28,25,40,38,153
GA:_Burke_County,13,17,14,14,13,71
GA:_Butts_County,24,19,13,15,12,83
GA:_Calhoun_County,7,7,3,1,5,23
GA:_Camden_County,20,24,30,21,25,120
GA:_Candler_County,9,12,2,7,5,35
